Miesiące;Rodzaje towarów i usług;Rok;Wartosc;Jednostka miary
styczeń;jabłka - za 1kg;2017;2,37;zł
styczeń;pomarańcze - za 1kg;2017;5,16;zł
luty;jabłka - za 1kg;2017;2,36;zł
luty;pomarańcze - za 1kg;2017;5,09;zł
marzec;jabłka - za 1kg;2017;2,43;zł
marzec;pomarańcze - za 1kg;2017;5,17;zł
kwiecień;jabłka - za 1kg;2017;2,49;zł
kwiecień;pomarańcze - za 1kg;2017;5,19;zł
maj;jabłka - za 1kg;2017;2,78;zł
maj;pomarańcze - za 1kg;2017;5,49;zł
czerwiec;jabłka - za 1kg;2017;3,23;zł
czerwiec;pomarańcze - za 1kg;2017;5,70;zł
lipiec;jabłka - za 1kg;2017;3,47;zł
lipiec;pomarańcze - za 1kg;2017;6,27;zł
sierpień;jabłka - za 1kg;2017;3,55;zł
sierpień;pomarańcze - za 1kg;2017;6,69;zł
wrzesień;jabłka - za 1kg;2017;3,56;zł
wrzesień;pomarańcze - za 1kg;2017;6,69;zł
październik;jabłka - za 1kg;2017;3,53;zł
październik;pomarańcze - za 1kg;2017;6,67;zł
listopad;jabłka - za 1kg;2017;3,58;zł
listopad;pomarańcze - za 1kg;2017;6,14;zł
grudzień;jabłka - za 1kg;2017;3,59;zł
grudzień;pomarańcze - za 1kg;2017;5,39;zł
